Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
386,21-20-3,TANH,CEE,500,0.001,0.95,100.00%,0.2377
390,21-12-3,TANH,CEE,500,0.001,0.95,100.00%,0.2377
391,21-15-3,TANH,CEE,500,0.001,0.95,100.00%,0.2377
1191,21-20-45-3,TANH,CEE,300,0.01,0.5,100.00%,0.2377
1193,21-20-45-3,TANH,CEE,500,0.01,0.5,100.00%,0.2377
1233,21-20-45-3,TANH,CEE,500,0.001,0.95,100.00%,0.2377
374,21-20-3,TANH,CEE,500,0.001,0.75,100.00%,0.2378
379,21-15-3,TANH,CEE,500,0.001,0.75,100.00%,0.2378
380,21-20-3,TANH,CEE,500,0.001,0.75,100.00%,0.2378
1220,21-15-20-3,TANH,CEE,500,0.001,0.75,100.00%,0.2378
1221,21-20-45-3,TANH,CEE,500,0.001,0.75,100.00%,0.2378
1224,21-15-20-3,TANH,CEE,500,0.001,0.75,100.00%,0.2378
1231,21-20-45-3,TANH,CEE,300,0.001,0.95,100.00%,0.2379
367,21-15-3,TANH,CEE,500,0.001,0.5,100.00%,0.238
368,21-20-3,TANH,CEE,500,0.001,0.5,100.00%,0.238
387,21-12-3,TANH,CEE,300,0.001,0.95,100.00%,0.238
394,21-15-3,TANH,CEE,300,0.001,0.95,100.00%,0.238
1234,21-15-20-3,TANH,CEE,300,0.001,0.95,100.00%,0.238
360,21-12-3,TANH,CEE,500,0.001,0.5,100.00%,0.2381
361,21-15-3,TANH,CEE,500,0.001,0.5,100.00%,0.2381
366,21-12-3,TANH,CEE,500,0.001,0.5,100.00%,0.2381
389,21-20-3,TANH,CEE,300,0.001,0.95,100.00%,0.2381
395,21-20-3,TANH,CEE,300,0.001,0.95,100.00%,0.2381
1213,21-20-45-3,TANH,CEE,500,0.001,0.5,100.00%,0.2381
1217,21-20-45-3,TANH,CEE,500,0.001,0.5,100.00%,0.2381
1227,21-20-45-3,TANH,CEE,300,0.001,0.75,100.00%,0.2381
1230,21-15-20-3,TANH,CEE,300,0.001,0.95,100.00%,0.2381
393,21-12-3,TANH,CEE,300,0.001,0.95,100.00%,0.2382
1212,21-15-20-3,TANH,CEE,500,0.001,0.5,100.00%,0.2382
375,21-12-3,TANH,CEE,300,0.001,0.75,100.00%,0.2383
383,21-20-3,TANH,CEE,300,0.001,0.75,100.00%,0.2383
