21-12-3,ISRLU,SSE,500,1.0E-4,0.5,94.04%, 0.2313
21-15-3,ISRLU,SSE,500,1.0E-4,0.5,91.91%, 0.2366
21-20-3,ISRLU,SSE,500,1.0E-4,0.5,91.70%, 0.2378
21-12-3,ISRLU,SSE,300,1.0E-4,0.5,73.19%, 0.2893
21-15-3,ISRLU,SSE,300,1.0E-4,0.5,88.09%, 0.2583
21-20-3,ISRLU,SSE,300,1.0E-4,0.5,90.64%, 0.2448
21-12-3,ISRLU,SSE,500,1.0E-4,0.5,89.79%, 0.2463
21-15-3,ISRLU,SSE,500,1.0E-4,0.5,88.51%, 0.2642
21-20-3,ISRLU,SSE,500,1.0E-4,0.5,90.43%, 0.2426
21-12-3,ISRLU,SSE,300,1.0E-4,0.5,85.32%, 0.2542
21-15-3,ISRLU,SSE,300,1.0E-4,0.5,87.02%, 0.2573
21-20-3,ISRLU,SSE,300,1.0E-4,0.5,87.45%, 0.2485
21-12-3,ISRLU,SSE,500,1.0E-4,0.75,89.57%, 0.2379
21-15-3,ISRLU,SSE,500,1.0E-4,0.75,95.11%, 0.2296
21-20-3,ISRLU,SSE,500,1.0E-4,0.75,88.09%, 0.2513
21-12-3,ISRLU,SSE,300,1.0E-4,0.75,88.09%, 0.2460
21-15-3,ISRLU,SSE,300,1.0E-4,0.75,90.21%, 0.2501
21-20-3,ISRLU,SSE,300,1.0E-4,0.75,90.64%, 0.2428
21-12-3,ISRLU,SSE,500,1.0E-4,0.75,76.38%, 0.2819
21-15-3,ISRLU,SSE,500,1.0E-4,0.75,91.28%, 0.2259
21-20-3,ISRLU,SSE,500,1.0E-4,0.75,96.38%, 0.2248
21-12-3,ISRLU,SSE,300,1.0E-4,0.75,86.17%, 0.2629
21-15-3,ISRLU,SSE,300,1.0E-4,0.75,83.62%, 0.2552
21-20-3,ISRLU,SSE,300,1.0E-4,0.75,87.23%, 0.2476
21-12-3,ISRLU,SSE,500,1.0E-4,0.95,97.45%, 0.2184
21-15-3,ISRLU,SSE,500,1.0E-4,0.95,91.28%, 0.2335
21-20-3,ISRLU,SSE,500,1.0E-4,0.95,94.47%, 0.2154
21-12-3,ISRLU,SSE,300,1.0E-4,0.95,92.77%, 0.2278
21-15-3,ISRLU,SSE,300,1.0E-4,0.95,89.15%, 0.2446
21-20-3,ISRLU,SSE,300,1.0E-4,0.95,88.30%, 0.2450
21-12-3,ISRLU,SSE,500,1.0E-4,0.95,85.32%, 0.2674
21-15-3,ISRLU,SSE,500,1.0E-4,0.95,88.09%, 0.2436
21-20-3,ISRLU,SSE,500,1.0E-4,0.95,95.32%, 0.2311
21-12-3,ISRLU,SSE,300,1.0E-4,0.95,88.30%, 0.2475
21-15-3,ISRLU,SSE,300,1.0E-4,0.95,75.32%, 0.2865
21-20-3,ISRLU,SSE,300,1.0E-4,0.95,90.43%, 0.2482
21-12-3,TANH,CEE,500,0.01,0.5,100.00%, 0.2372
21-15-3,TANH,CEE,500,0.01,0.5,100.00%, 0.2377
21-20-3,TANH,CEE,500,0.01,0.5,100.00%, 0.2377
21-12-3,TANH,CEE,300,0.01,0.5,100.00%, 0.2377
21-15-3,TANH,CEE,300,0.01,0.5,100.00%, 0.2373
21-20-3,TANH,CEE,300,0.01,0.5,100.00%, 0.2377
21-12-3,TANH,CEE,500,0.01,0.5,100.00%, 0.2377
21-15-3,TANH,CEE,500,0.01,0.5,100.00%, 0.2377
21-20-3,TANH,CEE,500,0.01,0.5,100.00%, 0.2377
21-12-3,TANH,CEE,300,0.01,0.5,100.00%, 0.2373
21-15-3,TANH,CEE,300,0.01,0.5,100.00%, 0.2377
21-20-3,TANH,CEE,300,0.01,0.5,100.00%, 0.2377
21-12-3,TANH,CEE,500,0.01,0.75,100.00%, 0.2372
21-15-3,TANH,CEE,500,0.01,0.75,100.00%, 0.2376
21-20-3,TANH,CEE,500,0.01,0.75,100.00%, 0.2372
21-12-3,TANH,CEE,300,0.01,0.75,100.00%, 0.2372
21-15-3,TANH,CEE,300,0.01,0.75,100.00%, 0.2376
21-20-3,TANH,CEE,300,0.01,0.75,100.00%, 0.2372
21-12-3,TANH,CEE,500,0.01,0.75,100.00%, 0.2376
21-15-3,TANH,CEE,500,0.01,0.75,100.00%, 0.2376
21-15-3,TANH,CEE,300,0.01,0.75,82.34%, 0.2852
21-20-3,TANH,CEE,500,0.01,0.75,100.00%, 0.2372
21-12-3,TANH,CEE,300,0.01,0.75,82.34%, 0.2852
21-20-3,TANH,CEE,300,0.01,0.75,100.00%, 0.2376
21-12-3,TANH,CEE,500,0.01,0.95,82.34%, 0.2851
21-15-3,TANH,CEE,500,0.01,0.95,100.00%, 0.2376
21-20-3,TANH,CEE,500,0.01,0.95,100.00%, 0.2372
21-12-3,TANH,CEE,300,0.01,0.95,82.34%, 0.2851
21-15-3,TANH,CEE,300,0.01,0.95,100.00%, 0.2372
21-20-3,TANH,CEE,300,0.01,0.95,100.00%, 0.2376
21-12-3,TANH,CEE,500,0.01,0.95,100.00%, 0.2376
21-15-3,TANH,CEE,500,0.01,0.95,100.00%, 0.2372
21-20-3,TANH,CEE,500,0.01,0.95,100.00%, 0.2376
21-12-3,TANH,CEE,300,0.01,0.95,100.00%, 0.2372
21-15-3,TANH,CEE,300,0.01,0.95,100.00%, 0.2376
21-20-3,TANH,CEE,300,0.01,0.95,100.00%, 0.2372
21-12-3,TANH,CEE,500,0.001,0.5,100.00%, 0.2381
21-15-3,TANH,CEE,500,0.001,0.5,100.00%, 0.2381
21-20-3,TANH,CEE,500,0.001,0.5,100.00%, 0.2385
21-12-3,TANH,CEE,300,0.001,0.5,100.00%, 0.2394
21-15-3,TANH,CEE,300,0.001,0.5,100.00%, 0.2394
21-20-3,TANH,CEE,300,0.001,0.5,100.00%, 0.2392
21-12-3,TANH,CEE,500,0.001,0.5,100.00%, 0.2381
21-15-3,TANH,CEE,500,0.001,0.5,100.00%, 0.2380
21-20-3,TANH,CEE,500,0.001,0.5,100.00%, 0.2380
21-12-3,TANH,CEE,300,0.001,0.5,82.98%, 0.2819
21-15-3,TANH,CEE,300,0.001,0.5,100.00%, 0.2395
21-20-3,TANH,CEE,300,0.001,0.5,100.00%, 0.2396
